City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date_readable
Georgetown,20,GY,1548730800,100,6.8,-58.16,73.4,4.7,2019-01-29
Leningradskiy,12,RU,1548733875,84,69.38,178.42,-13.46,7.63,2019-01-29
Daru,0,SL,1548733875,68,7.99,-10.85,70.42,6.29,2019-01-29
Faanui,68,PF,1548733876,100,-16.48,-151.75,81.63,22.84,2019-01-29
Asosa,8,ET,1548733876,68,10.07,34.53,58.23,2.59,2019-01-29
Mecca,32,SA,1548733876,90,21.43,39.83,58.32,2.93,2019-01-29
Atar,0,MR,1548733876,56,20.52,-13.05,52.74,7.52,2019-01-29
Albany,20,US,1548731820,52,42.65,-73.75,12.02,4.7,2019-01-29
Bambous Virieux,40,MU,1548730800,94,-20.34,57.76,77.0,4.27,2019-01-29
Castro,75,CL,1548730800,93,-42.48,-73.76,53.6,6.93,2019-01-29
Katsuura,20,JP,1548731400,45,33.93,134.5,46.4,23.04,2019-01-29
Aswan,0,EG,1548733878,100,24.09,32.9,43.69,6.17,2019-01-29
Victoria,75,BN,1548732600,74,5.28,115.24,87.8,3.36,2019-01-29
Straumen,80,NO,1548733879,85,63.87,11.3,8.01,2.37,2019-01-29
Redmond,1,US,1548731700,57,47.67,-122.12,44.96,4.7,2019-01-29
New Norfolk,0,AU,1548730800,35,-42.78,147.06,87.8,16.11,2019-01-29
Oistins,20,BB,1548730800,73,13.07,-59.53,75.2,13.87,2019-01-29
Perry,1,US,1548732900,92,30.12,-83.58,41.54,5.17,2019-01-29
Najran,5,SA,1548730800,36,17.54,44.22,60.8,9.17,2019-01-29
Saint Anthony,1,US,1548730560,76,43.97,-111.68,14.0,4.7,2019-01-29
Krapina,92,HR,1548730800,92,46.16,15.87,32.0,3.36,2019-01-29
Hoshcha,20,UA,1548733881,88,50.6,26.67,28.08,10.09,2019-01-29
Ribeira Grande,36,PT,1548733881,100,38.52,-28.7,59.04,6.62,2019-01-29
Hilo,40,US,1548730380,55,19.71,-155.08,73.04,24.16,2019-01-29
Octeville,75,FR,1548732000,74,49.63,-1.64,41.0,4.7,2019-01-29
Hervey Bay,40,AU,1548730800,43,-25.3,152.85,87.8,17.22,2019-01-29
San Patricio,8,PY,1548733882,62,-26.98,-56.83,82.17,4.83,2019-01-29
